SCATS Number,Location,NB_LATITUDE,NB_LONGITUDE,15 Minutes,Lane 1 Flow (Veh/15 Minutes)
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 00:15:00,115
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 00:30:00,99
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 00:45:00,94
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 01:00:00,86
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 01:15:00,75
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 01:30:00,81
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 01:45:00,81
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 02:00:00,49
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 02:15:00,71
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 02:30:00,63
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 02:45:00,58
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 03:00:00,45
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 03:15:00,44
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 03:30:00,60
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 03:45:00,32
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 04:00:00,43
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 04:15:00,37
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 04:30:00,38
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 04:45:00,32
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 05:00:00,36
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 05:15:00,39
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 05:30:00,29
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 05:45:00,33
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 06:00:00,33
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 06:15:00,31
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 06:30:00,37
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 06:45:00,43
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 07:00:00,47
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 07:15:00,45
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 07:30:00,66
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 07:45:00,70
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 08:00:00,60
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 08:15:00,59
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 08:30:00,59
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 08:45:00,72
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 09:00:00,121
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 09:15:00,92
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 09:30:00,126
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 09:45:00,135
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 10:00:00,146
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 10:15:00,163
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 10:30:00,154
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 10:45:00,186
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 11:00:00,196
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 11:15:00,188
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 11:30:00,172
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 11:45:00,218
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 12:00:00,207
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 12:15:00,231
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 12:30:00,208
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 12:45:00,207
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 13:00:00,236
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 13:15:00,234
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 13:30:00,240
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 13:45:00,201
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 14:00:00,175
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 14:15:00,201
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 14:30:00,167
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 14:45:00,204
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 15:00:00,203
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 15:15:00,193
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 15:30:00,213
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 15:45:00,194
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 16:00:00,178
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 16:15:00,181
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 16:30:00,198
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 16:45:00,205
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 17:00:00,223
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 17:15:00,196
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 17:30:00,187
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 17:45:00,229
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 18:00:00,185
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 18:15:00,212
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 18:30:00,182
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 18:45:00,156
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 19:00:00,154
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 19:15:00,149
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 19:30:00,167
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 19:45:00,149
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 20:00:00,123
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 20:15:00,90
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 20:30:00,91
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 20:45:00,105
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 21:00:00,102
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 21:15:00,115
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 21:30:00,126
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 21:45:00,102
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 22:00:00,101
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 22:15:00,97
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 22:30:00,85
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 22:45:00,110
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 23:00:00,79
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 23:15:00,65
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 23:30:00,65
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-01 23:45:00,56
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 00:00:00,48
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 00:15:00,46
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 00:30:00,43
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 00:45:00,35
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 01:00:00,26
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 01:15:00,33
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 01:30:00,17
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 01:45:00,10
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 02:00:00,14
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 02:15:00,13
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 02:30:00,13
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 02:45:00,21
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 03:00:00,9
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 03:15:00,12
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 03:30:00,10
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 03:45:00,11
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 04:00:00,11
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 04:15:00,14
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 04:30:00,8
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 04:45:00,9
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 05:00:00,15
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 05:15:00,13
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,2006-10-02 05:30:00,21
