SCATS Number,Location,NB_LATITUDE,NB_LONGITUDE,15 Minutes,Lane 1 Flow (Veh/15 Minutes)
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 00:15:00,15
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 00:30:00,25
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 00:45:00,20
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 01:00:00,39
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 01:15:00,22
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 01:30:00,12
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 01:45:00,7
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 02:00:00,15
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 02:15:00,5
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 02:30:00,27
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 02:45:00,17
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 03:00:00,8
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 03:15:00,8
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 03:30:00,14
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 03:45:00,4
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 04:00:00,23
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 04:15:00,4
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 04:30:00,4
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 04:45:00,32
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 05:00:00,12
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 05:15:00,6
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 05:30:00,11
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 05:45:00,18
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 06:00:00,28
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 06:15:00,20
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 06:30:00,42
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 06:45:00,66
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 07:00:00,49
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 07:15:00,52
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 07:30:00,89
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 07:45:00,68
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 08:00:00,95
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 08:15:00,106
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 08:30:00,110
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 08:45:00,93
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 09:00:00,88
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 09:15:00,98
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 09:30:00,84
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 09:45:00,102
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 10:00:00,110
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 10:15:00,66
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 10:30:00,93
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 10:45:00,69
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 11:00:00,45
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 11:15:00,94
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 11:30:00,83
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 11:45:00,71
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 12:00:00,85
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 12:15:00,94
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 12:30:00,92
