SCATS Number,Location,NB_LATITUDE,NB_LONGITUDE,15 Minutes,Lane 1 Flow (Veh/15 Minutes)
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 00:15:00,165
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 00:30:00,154
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 00:45:00,128
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 01:00:00,101
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 01:15:00,88
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 01:30:00,72
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 01:45:00,76
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 02:00:00,61
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 02:15:00,63
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 02:30:00,56
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 02:45:00,55
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 03:00:00,42
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 03:15:00,67
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 03:30:00,45
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 03:45:00,24
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 04:00:00,39
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 04:15:00,36
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 04:30:00,25
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 04:45:00,32
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 05:00:00,26
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 05:15:00,24
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 05:30:00,35
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 05:45:00,21
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 06:00:00,45
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 06:15:00,40
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 06:30:00,60
3685,WARRIGAL_RD S of HIGHBURY_RD,-37.85513,145.09376,2006-10-01 06:45:00,73
